date,first_hour_range,final_abs_high,hours_to_final_abs_high,extension_points_above_fh_high,continuation_hours,chop_hours,pullback_25_hours,pullback_50_hours,failed_buyup
2025-08-21,2.16,566.42,1,-0.06,0,0,1,1.0,True
2025-08-22,8.91,573.99,1,0.41,1,0,1,,False
2025-09-02,4.37,565.97,6,0.27,6,0,1,1.0,False
2025-09-08,2.06,580.84,1,0.28,1,0,1,1.0,False
2025-09-18,2.57,598.13,1,0.65,1,0,1,1.0,False
2025-10-08,3.64,611.75,6,2.81,6,0,1,,False
2025-10-14,2.19,602.69,3,5.32,3,0,1,1.0,False
2025-10-15,2.66,606.7,1,0.03,1,0,1,1.0,False
2025-10-17,5.37,605.51,5,2.19,5,0,1,1.0,False
2025-10-20,4.0,612.8,4,1.66,4,0,1,,False
2025-10-23,3.93,611.37,5,2.54,5,0,1,2.0,False
2025-11-14,7.38,613.35,2,6.42,2,0,1,1.0,False
2026-01-20,3.06,615.05,2,1.46,2,0,1,1.0,False
2026-02-06,5.41,611.41,6,5.8,6,0,1,1.0,False
