date,tf,fh_move_pct,first_hour_range,fh_volume,day_volume,fh_vol_vs_day,final_abs_low,hours_to_final_abs_low,extension_points_below_fh_low,continuation_hours,chop_hours,bounce_25_hours,bounce_50_hours,failed_selloff,lh_bars,lh_open,lh_high,lh_low,lh_close,lh_range,lh_move_pct,lh_volume,lh_vol_vs_day
2025-11-18,30m,-0.4546,5.295,30082907.0,107035693.0,0.2811,655.86,1.0,0.94,1.0,0.0,0.5,0.5,False,2,664.43,664.94,660.0,660.14,4.94,-0.6457,22477164.0,0.21
2025-11-21,30m,-0.3007,2.71,27153970.0,113421137.0,0.2394,650.85,0.5,1.4901,0.5,0.0,0.5,0.5,False,2,661.73,662.2,658.23,659.08,3.97,-0.4005,22187900.0,0.1956
2025-12-12,30m,-0.6423,4.54,19275633.0,98121349.0,0.1964,679.1744,1.5,4.4556,1.5,0.0,0.5,0.5,False,2,681.96,682.515,680.07,681.73,2.445,-0.0337,21835877.0,0.2225
2025-12-15,30m,-0.8633,6.49,22304440.0,82965384.0,0.2688,679.42,2.5,-0.17,0.0,0.0,0.5,1.0,True,2,681.69,681.74,680.55,680.71,1.19,-0.1438,18933226.0,0.2282
2026-01-02,30m,-0.4754,4.13,22024812.0,82293874.0,0.2676,679.82,3.5,1.76,3.5,0.0,0.5,0.5,False,2,683.13,683.7,682.07,683.17,1.63,0.0059,15618504.0,0.1898
2026-01-13,30m,-0.3968,3.4,18683093.0,70424508.0,0.2653,691.35,5.5,0.7401,5.5,0.0,0.5,0.5,False,2,692.92,693.96,691.35,693.75,2.61,0.1198,17772799.0,0.2524
2026-01-14,30m,-0.3242,3.32,20382132.0,85410896.0,0.2386,686.04,2.0,1.64,2.0,0.0,0.5,0.5,False,2,688.06,690.64,687.32,690.44,3.32,0.3459,26761116.0,0.3133
2026-01-29,30m,-1.0655,7.53,22893047.0,90277549.0,0.2536,684.83,1.0,4.03,1.0,0.0,0.5,0.5,False,2,691.13,694.79,691.045,693.97,3.745,0.4109,17227215.0,0.1908
2026-02-03,30m,-0.6368,5.8413,22706244.0,97757437.0,0.2323,684.03,4.0,6.77,4.0,0.0,0.5,4.0,False,2,686.82,689.75,686.28,689.46,3.47,0.3844,18904915.0,0.1934
2026-02-05,30m,-0.6315,4.765,27401090.0,100478607.0,0.2727,675.79,1.0,0.385,1.0,0.0,0.5,0.5,False,2,679.09,680.895,676.1855,677.44,4.7095,-0.243,20704954.0,0.2061
2026-02-11,30m,-0.9578,7.21,21414691.0,71892186.0,0.2979,689.56,0.5,-0.38,0.0,0.0,0.5,1.0,True,2,692.92,693.1,691.77,691.92,1.33,-0.1443,13508739.0,0.1879
