date,first_hour_range,final_abs_low,hours_to_final_abs_low,extension_points_below_fh_low,continuation_hours,chop_hours,bounce_25_hours,bounce_50_hours,failed_selloff
2025-08-20,5.73,632.95,1,0.72,1,0,1,1,False
2025-09-05,5.43,643.33,1,2.72,1,0,1,1,False
2025-11-18,5.29,655.86,1,0.94,1,0,1,1,False
2025-11-21,2.71,650.85,1,1.49,1,0,1,1,False
2025-12-15,6.49,679.42,3,-0.17,0,0,1,1,True
2026-01-02,4.13,679.82,4,1.76,4,0,1,1,False
2026-01-14,3.32,686.04,2,1.64,2,0,1,1,False
2026-01-29,7.53,684.83,1,4.03,1,0,1,1,False
2026-02-03,5.84,684.03,4,6.77,4,0,1,4,False
2026-02-05,4.77,675.79,1,0.39,1,0,1,1,False
2026-02-11,7.21,689.56,1,-0.38,0,0,1,1,True
